model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high,auprc,prec_at_rec50,prec_at_prev1e-3
static_mean,out_of_distribution,REST,0.696644,0.6957366566464394,0.664747245096286,0.7274561081662837,0.6526202326977854,0.6765498652291105,0.002089385753885342
best_single,out_of_distribution,REST,0.72584,0.7253990264458436,0.6950988571083524,0.7558736767232371,0.7087595801729072,0.7142857142857143,0.0024962556165751375
DNABERT,out_of_distribution,REST,0.7112160000000001,0.7105352602003916,0.6791899441661582,0.7424293214204961,0.6822811685470773,0.7002801120448179,0.0023333302222263703
HetMoE,out_of_distribution,GATA1,0.8608159999999999,0.8610490784309285,0.8376868396173001,0.8830019727396802,0.8600344177968741,0.9028776978417267,0.009219806053482223
static_mean,out_of_distribution,GATA1,0.7843519999999999,0.7853194389216005,0.755329743989121,0.8128806442291391,0.77476909015385,0.7886435331230284,0.00372117946504324
best_single,out_of_distribution,GATA1,0.8524200000000001,0.8528013716157035,0.8285505092509405,0.8748971226642116,0.8512696968644015,0.8762886597938144,0.007040503603081258
DNABERT,out_of_distribution,GATA1,0.7881400000000001,0.7890765208009591,0.7604778459372995,0.8164249036091601,0.775456239123556,0.7716049382716049,0.003370362381363245
HetMoE,out_of_distribution,GATA2,0.8681519999999999,0.8680641886163778,0.8464948493518788,0.8884985824170232,0.872148634140588,0.9194139194139194,0.011291556075397006
static_mean,out_of_distribution,GATA2,0.788292,0.7884103828398726,0.7616597743535973,0.815782124941757,0.7894397192923243,0.8122977346278317,0.004313233550427027
best_single,out_of_distribution,GATA2,0.850764,0.8510381430409832,0.8259013512580206,0.8730584095604197,0.8521586060013462,0.8798701298701299,0.007278294032336039
DNABERT,out_of_distribution,GATA2,0.77928,0.7794693385091965,0.752116009833728,0.8071754440928025,0.7739394252392147,0.7650602409638554,0.003249079001227998
HetMoE,out_of_distribution,FOXA1,0.8272,0.8274068707331895,0.8045623707292832,0.8519267463585966,0.8282705882607506,0.8600682593856656,0.006114872242847783
static_mean,out_of_distribution,FOXA1,0.7315399999999999,0.7317800580433077,0.7012346552278529,0.7614751405565365,0.7188400985860884,0.7275362318840579,0.0026657603789415553
best_single,out_of_distribution,FOXA1,0.755402,0.7554786535603105,0.7252061028057764,0.7842614991607328,0.7713452308674601,0.7836990595611285,0.003613708966334687
DNABERT,out_of_distribution,FOXA1,0.761316,0.7615035310970167,0.7323221600301955,0.7906449178678339,0.7707812047113515,0.7692307692307693,0.003325573661456602
HetMoE,out_of_distribution,FOXA2,0.8380160000000001,0.8375182882200977,0.8122395747368767,0.8614000551068023,0.830615285219089,0.8650519031141869,0.006375761903547474
static_mean,out_of_distribution,FOXA2,0.729208,0.7287868871761002,0.6975783082209448,0.7597221147263558,0.7095811035276474,0.7204610951008645,0.0025732607330705174
best_single,out_of_distribution,FOXA2,0.75346,0.7524689668233331,0.7237848786238894,0.7829716663367621,0.7592771366948994,0.7331378299120235,0.002742460974780329
DNABERT,out_of_distribution,FOXA2,0.758076,0.757641578864973,0.7285140673266687,0.7863095849314695,0.7534083934020916,0.7331378299120235,0.002742460974780329
HetMoE,out_of_distribution,CTCF,0.8673480000000001,0.867627434546279,0.8439602648572482,0.889509743880572,0.842394708864355,0.8655172413793103,0.006401101703560135
static_mean,out_of_distribution,CTCF,0.76596,0.7662849635264422,0.7345855674903075,0.7947851505726856,0.71237432745588,0.747093023255814,0.0029482620167488823
best_single,out_of_distribution,CTCF,0.7262919999999999,0.7267092520091085,0.6947165238521472,0.7562411867460808,0.7016818922816181,0.7150997150997151,0.0025062156144222227
DNABERT,out_of_distribution,CTCF,0.769572,0.7697569096374468,0.7367945586547437,0.7985887663029945,0.720667999317405,0.7317784256559767,0.002723553858006272
HetMoE,out_of_distribution,STAT3,0.8468519999999999,0.8455893420885547,0.8212926240046621,0.8698026708231695,0.8640428158451746,0.9124087591240876,0.010319491455461075
static_mean,out_of_distribution,STAT3,0.779968,0.7786079703653455,0.7515192950982529,0.8070147750671397,0.7705258498694068,0.7832817337461301,0.003604861576165168
best_single,out_of_distribution,STAT3,0.8942840000000001,0.8937872028282052,0.8738142941321222,0.9124149274985338,0.9078365217913685,0.9578544061302682,0.02224397188361954
DNABERT,out_of_distribution,STAT3,0.785004,0.7843399853863163,0.7551304553111632,0.8122351675226593,0.7820665096912455,0.7943037974683544,0.0038505200503175527
HetMoE,out_of_distribution,NRF1,0.8379920000000001,0.8373908316427735,0.8129837590923277,0.8614481346727453,0.8456049816771666,0.8620689655172413,0.006217358865953743
static_mean,out_of_distribution,NRF1,0.8025479999999999,0.8017423389908556,0.7757325415579365,0.8293031625623527,0.8037808956474267,0.8235294117647058,0.004649618067087346
best_single,out_of_distribution,NRF1,0.7886279999999999,0.7882450517178929,0.76041862628352,0.8155463836786029,0.7859036258610488,0.7936507936507936,0.0038352381682902506
DNABERT,out_of_distribution,NRF1,0.79814,0.7973284122614375,0.7693498226091052,0.8243558891633856,0.7972613953778309,0.8064516129032258,0.004153513872736335
HetMoE,out_of_distribution,HNF4A,0.7785160000000001,0.7776292287083908,0.7480583194306083,0.8034403511320414,0.7637944081813389,0.7652439024390244,0.003252390701531604
static_mean,out_of_distribution,HNF4A,0.67464,0.6736173254303933,0.6420862079440912,0.7056790335361741,0.6368405709081791,0.6313131313131313,0.001711109894321853
best_single,out_of_distribution,HNF4A,0.734944,0.734406422460061,0.7023570023958889,0.7623534373407121,0.7407699349533339,0.7195467422096318,0.0025616459079219403
DNABERT,out_of_distribution,HNF4A,0.723692,0.7230003251983653,0.6912103451588114,0.752954736566931,0.6975391581831848,0.7002801120448179,0.0023333302222263703
HetMoE,out_of_distribution,TCF7L2,0.794548,0.7949481214382244,0.7681589759551816,0.8219161350570521,0.7930822558548096,0.8076923076923077,0.004186602870813397
static_mean,out_of_distribution,TCF7L2,0.7335320000000001,0.7339425060328688,0.7029206740328422,0.7649824975664024,0.7159822717161719,0.7376093294460642,0.0028060290806650183
best_single,out_of_distribution,TCF7L2,0.7645839999999999,0.7649235697510322,0.7355576812596659,0.7929922801971531,0.7708491809273259,0.7949526813880127,0.0038658014634819823
DNABERT,out_of_distribution,TCF7L2,0.754924,0.7553388126884472,0.7251644835594131,0.7850751019303551,0.7475570634917587,0.7544910179640718,0.003066812705366922
HetMoE,out_of_distribution,ZBTB33,0.844364,0.8441330472883221,0.8193075519050877,0.8683719798312739,0.8614066801486112,0.8896797153024911,0.008007943880329287
static_mean,out_of_distribution,ZBTB33,0.8060280000000001,0.8056795520722828,0.7789901186961048,0.8342235358841352,0.784555977868903,0.8064516129032258,0.004153513872736335
best_single,out_of_distribution,ZBTB33,0.7927839999999999,0.7926001769839285,0.7649440057511255,0.8209520103239185,0.8123342748637248,0.8250825082508251,0.004699513130439687
DNABERT,out_of_distribution,ZBTB33,0.8251,0.8247365512643826,0.7985603047859396,0.8499876309547473,0.8265995702327058,0.8620689655172413,0.006217358865953743
HetMoE,out_of_distribution,POLR2A,0.774644,0.7746977651847231,0.7477456825463108,0.8028257403592947,0.7658400161468297,0.7514970059880239,0.003017987687572143
static_mean,out_of_distribution,POLR2A,0.758108,0.7580095664311804,0.7291802752652042,0.7865834388648956,0.744734943757891,0.7961783439490446,0.003894930358645187
best_single,out_of_distribution,POLR2A,0.7582480000000001,0.7585683347346682,0.7301209545029427,0.7856188248114522,0.751224363943968,0.7629179331306991,0.0032108272677267087
DNABERT,out_of_distribution,POLR2A,0.769836,0.769813587273185,0.7430130653849547,0.7972252735842025,0.770135997775234,0.790625,0.0037656654660197064
HetMoE,out_of_distribution,EP300,0.853824,0.854241275387556,0.832842585465071,0.8762581136297205,0.8589500312759227,0.9087719298245615,0.00987306064880113
static_mean,out_of_distribution,EP300,0.802324,0.8028280735134584,0.7769212101742932,0.8286228935711502,0.7810942457408577,0.8050314465408805,0.004116152683538605
best_single,out_of_distribution,EP300,0.8583719999999999,0.8591795650033122,0.8374561664969841,0.8806778077777039,0.8603281613001003,0.9068100358422939,0.009646547451100013
DNABERT,out_of_distribution,EP300,0.803844,0.804755434251781,0.7795726630226264,0.8289818981178647,0.7988777259227815,0.8083067092651757,0.004203146545279352
HetMoE,out_of_distribution,EZH2,0.718988,0.7189102333612416,0.6877870685180375,0.7486428928535055,0.7214977556547005,0.7016574585635359,0.0023486767887855304
static_mean,out_of_distribution,EZH2,0.701716,0.7016246436255954,0.6694274816641798,0.7317286046009119,0.6791497198104197,0.6963788300835655,0.0022906148926617863
best_single,out_of_distribution,EZH2,0.7237720000000001,0.7239550940643071,0.6925076805256356,0.7535785769065672,0.7323094470208129,0.7331378299120235,0.002742460974780329
DNABERT,out_of_distribution,EZH2,0.732528,0.7327935946068278,0.701070050233723,0.7623086083167918,0.7271436962418024,0.7317784256559767,0.002723553858006272
HetMoE,out_of_distribution,TAF1,0.83938,0.8391087850615183,0.814518320256451,0.8638341188886488,0.842103790771688,0.8900709219858156,0.008039718129404228
static_mean,out_of_distribution,TAF1,0.811208,0.8109218057837775,0.7832876211464448,0.8359966063831091,0.7981427938637385,0.84,0.005227781926811052
best_single,out_of_distribution,TAF1,0.810416,0.8102677589646182,0.7822655381748403,0.8368309744145986,0.8083641359015733,0.8552188552188552,0.005878132882830762
DNABERT,out_of_distribution,TAF1,0.82318,0.8229136715061651,0.7968507261612637,0.8476725850461285,0.8130215569222524,0.8771929824561403,0.007099247479767144
HetMoE,out_of_distribution,RBBP5,0.737008,0.7366392321933838,0.7044705462395083,0.7686023508588234,0.7447224404318848,0.7262247838616714,0.0026482549891232382
static_mean,out_of_distribution,RBBP5,0.732888,0.7325317242086609,0.7024864697060667,0.7659764576707533,0.7407901223827824,0.7183908045977011,0.0025470698508435895
best_single,out_of_distribution,RBBP5,0.733528,0.7330681045278816,0.7000037713726328,0.7627967986139719,0.7374679212000622,0.7382352941176471,0.0028151006033960663
DNABERT,out_of_distribution,RBBP5,0.7518720000000001,0.7515406976174288,0.7198592952051162,0.7799234784383204,0.75929060544915,0.7652439024390244,0.003252390701531604
HetMoE,out_of_distribution,SAP30,0.738408,0.7382103317968417,0.7078765435240214,0.7663612570335894,0.7275139259030565,0.7312138728323699,0.0027157578359811078
static_mean,out_of_distribution,SAP30,0.7193959999999999,0.7192621114812134,0.6886960427974952,0.7501390439699684,0.6841533031804385,0.711864406779661,0.0024669603524229075
best_single,out_of_distribution,SAP30,0.734564,0.7349500349649056,0.7046362946078529,0.7624319905830091,0.716483371485952,0.7246376811594203,0.0026272923125426934
DNABERT,out_of_distribution,SAP30,0.73728,0.737297377766292,0.7067896650789467,0.7661184306954479,0.7102771544775942,0.7241379310344828,0.002620741295394983
